code,Nom,Handelsbenaming,Rue,Numero,Code postal,Localité,Pays,Téléphone,Verkort-nr,Fax-nr,Gsm,BTW-nr,Mail leveringsbon,Mail factuur,Familienaam contactpersoon,Voornaam Contactpersoon,Telefoonnr,E-mail,Functie,Afzetkanaal,Klantengroep,Datum laatste bestelling,Facturatieperiode,Max. toegestaan krediet,Datum aanmaak klant,Transporteur,Alfacode,Picking groep,Vertegenwoordiger,Naam
1942.0,LE COMPTOIR DU CHERCHE MIDI SPRL C.C.M.,,GRAND LARGE,2A,7000.0,MONS,BEL,065/39.02.59,,,,BE0875.031.951,NEE,JA,boekhouding,,,resto.capitainerie@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,7500.0,2022-09-15,MONS,,,1.0,HTT
1943.0,STEV-SERVICES SPRL,,CHAUSSEE DU ROI BAUDOUIN,117,7000.0,MONS,BEL,065/84.59.45,,,0497/45.67.80,BE0444.426.581,NEE,NEE,boekhouding,,,contact@maxens.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1944.0,LE SOLEIL DANS L'ASSIETTE,LE SOLEIL DANS L'ASSIETTE,SENTIER DE LA TOURELLE,7,7070.0,LE ROEULX,BEL,,,,0477/07.33.00,BE0671.682.735,NEE,JA,boekhouding,,,sabine.normand@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1500.0,2022-09-15,MONS,,,1.0,HTT
1945.0,HALIOTIS SPRL,,RUE D'ARONDEAU,29,7601.0,ROUCOURT,BEL,069/34.30.70,,,,BE0647.680.480,NEE,NEE,boekhouding,,,limperatif@domainedarondeau.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-05,Klanten HTT,5000.0,2022-09-15,MONS,,,1.0,HTT
1946.0,AUBERGE DES AULNES,,RUE WARECHAIX,12,7370.0,BLAUGIES,BEL,,,,0460/96.46.26,BE0507.819.249,NEE,NEE,boekhouding,,,arnaud.brulez@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,NEE,NEE,boekhouding,,,aubergedesaulnes@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-07,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1947.0,LE PRIEURE SPRL,,RUE LAMBOT,9,6500.0,SOLRE-SAINT-GERY,BEL,071/58.97.00,,,0494/23.08.35,BE0457.096.464,NEE,JA,boekhouding,,,leprieure@skynet.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,3000.0,2022-09-15,MONS,,,1.0,HTT
1948.0,PICARDI,PICARDIE TRAITEUR SPRL,RUE DE FRAMERIES,19,7033.0,CUESMES,BEL,,,,0488/57.51.89,BE0633.721.982,NEE,NEE,boekhouding,,,andreas-pitropakis@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,06 POISSONERIE,2026-01-08,Klanten HTT,3500.0,2022-09-15,MONS,,,1.0,HTT
1949.0,LE COQ WALLON BRASSERIE,,PLACE DE ST SYMPHORIEN,6,7030.0,SAINT-SYMPHORIEN,BEL,065/73.08.38,,,0476/91.44.88,BE0686.639.640,NEE,JA,boekhouding,,,dinunzio-norma@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,3500.0,2022-09-15,MONS,,,1.0,HTT
1950.0,CENTRE PUBLIC D'ACTION SOCIALE DE TUBI,PARFUMS DU MONDE SPRL,RUE DES FRERES TAYMANS,32,1480.0,TUBIZE,BEL,02/355.96.42,,,,BE0212.228.872,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1952.0,LES GRIBAUMONTS SPRL,,RUE D'HAVRE,95,7000.0,MONS,BEL,065/75.04.55,,,,BE0715.947.397,NEE,JA,boekhouding,,,info@lesgribaumonts.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1953.0,CIP EVENEMENTS,PREVOT TRAITEUR,RUE DU GRAND JOUR,16 BOX A,7050.0,JURBISE,BEL,,,,0488/37.17.17,BE0866.595.030,NEE,NEE,BOEKHOUDING,,,invoice.traiteurprevot@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1954.0,HORECATH SA,,GRAND PLACE,1,7800.0,ATH,BEL,068/28.73.39,,,0474/52.01.87,BE0447.859.193,NEE,NEE,BOEKHOUDING,,,christine.remy@live.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1500.0,2022-09-15,MONS,,,1.0,HTT
1955.0,LAPETITETOUR SA,LA TABLE D'AUGUSTE,RUE DU GENERAL LEMAN,23,7370.0,DOUR,BEL,065/66.68.12,,,0475/37.19.61,BE0401.821.906,NEE,NEE,BOEKHOUDING,,,info@latabledauguste.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,,,,,,,,,,
,,,,,,,,,,,,,NEE,NEE,boekhouding,,,vinciane.lasensacion@gmail.com,,,09 HORECA,2026-01-03,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1956.0,HANNAEL JUSTINMBAR'A'KALY,,RUE DE LA COUPE,21,7000.0,MONS,BEL,,,,0470/61.26.69,BE0734.870.317,NEE,JA,BOEKHOUDING,,,mbarakaly.mons@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1000.0,2022-09-15,MONS,,,1.0,HTT
1957.0,COPILOT SPRL,,RUE DES CANADIENS,130,7022.0,HYON,BEL,,,,0484/34.81.76,BE0895.626.635,NEE,NEE,boekhouding,,,compta@labergerie-hyon.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,500.0,2022-09-15,MONS,,,1.0,HTT
1958.0,SAINT-PIERRE ET GENEPI SCRLPOISSONERIE SAINT-PIERRE,,RUE DE NAMUR,63,1400.0,NIVELLES,BEL,,,,0470/55.47.22,BE0758.955.714,NEE,NEE,boekhouding,,,pierreolemans@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,06 POISSONERIE,2026-01-07,Klanten HTT,15000.0,2022-09-15,MONS,,,1.0,HTT
1959.0,PASSION ET SAVEURS SPRL,,RUE HECTOR TRIGALLEZ,93,7134.0,LEVAL-TRAHEGNIES,BEL,064/55.82.02,,,0479/43.97.55,BE0849.300.524,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-05,Klanten HTT,4000.0,2022-09-15,MONS,,,1.0,HTT
1960.0,DDVA SPRLLA PORTE DE VIS TCHIAPIAS,,RUE DE LA STATION NEERH,32 BOX A,1357.0,HELECINE,BEL,,,,0475/57.00.23,BE0713.582.478,NEE,NEE,boekhouding,,,didier.mignacca@skynet.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2023-10-10,Klanten HTT,0.0,2022-09-15,MONS,,,1.0,HTT
1961.0,LA BOURSE QUIEVRAIN,,RUE GRANDE,2,7380.0,QUIEVRAIN,BEL,,,,0479/20.09.11,BE0639.811.208,NEE,NEE,boekhouding,,,Labourse70@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-07,Klanten HTT,1000.0,2022-09-15,MONS,,,1.0,HTT
1962.0,PIZZA A CASA,,RUE DE LA FONTAINE,159,7301.0,HORNU,BEL,,,,0471/92.97.61,BE0450.403.365,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,,,,,,,,,,
,,,,,,,,,,,,,NEE,NEE,boekhouding,,,sabrina_felice@hotmail.com,,,09 HORECA,,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1963.0,G.G.B. SANTUS,,RUE BOURGOGNE,5A,4452.0,PAIFVE,BEL,,,,0477/65.78.28,BE0427.318.355,NEE,NEE,boekhouding,,,santus.alex@skynet.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-05,Klanten HTT,1000.0,2022-09-15,MONS,,,1.0,HTT
1964.0,L'ATELIER DE MARIUS,,CHEMIN TINETTE,26,7063.0,NEUFVILLES,BEL,067/85.09.97,,,,BE0707.975.185,NEE,NEE,boekhouding,,,atelierdemarius6@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1500.0,2022-09-15,MONS,,,1.0,HTT
1965.0,LE PETIT BAIGNEUR DE SENEFFE SPRL,,RUE DU RIVAGE,11,7180.0,SENEFFE,BEL,064/36.74.10,,,,BE0763.831.349,NEE,NEE,boekhouding,,,lepetitbaigneurdeseneffe@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2022-11-23,Klanten HTT,1500.0,2022-09-15,MONS,,,1.0,HTT
1966.0,W.IN SPRL,,AV.DU BOURG. JEAN MATERNE,174,5100.0,JAMBES,BEL,,,,0479/39.82.45,BE0894.042.367,NEE,JA,boekhouding,,,laurent.lemineur@icloud.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-02-12,Klanten HTT,3000.0,2022-09-15,MONS,,,1.0,HTT
1967.0,ROBIN'S & CO SPRL,,RUE DE L'ABBAYE D'AULNE,5,6142.0,LEERNES,BEL,071/56.04.32,,,0476/63.08.51,BE0721.776.307,NEE,JA,boekhouding,,,thierryrobinski@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-09-26,Klanten HTT,2500.0,2022-09-15,MONS,,,1.0,HTT
1968.0,DRUGMAND SYLVIANE,,RUE DE BOLUS,37,7331.0,BAUDOUR,BEL,,,,0479/34.59.40,BE0539.843.404,NEE,NEE,boekhouding,,,syl-vous-plait@outlook.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1000.0,2022-09-16,MONS,,,1.0,HTT
1969.0,DUQUESNOY PIERRE,,RUE DE LA GARENNE,48A,7011.0,GHLIN,BEL,,,,0478/04.64.09,BE0829.578.543,NEE,JA,boekhouding,,,fldesel@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-12-27,Klanten HTT,1000.0,2022-09-16,MONS,,,1.0,HTT
1970.0,COLFONTAINE-JURBISE EAFC,,RUE CLEMENCEAU 60/62,48A,7340.0,COLFONTAINE,BEL,065/67.26.88,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1000.0,2022-09-16,MONS,,,1.0,HTT
1971.0,TRA TE E IL MARE SPRLMATTHIAS & SEA,,ROUTE DE PHILIPPEVILLE,34,5651.0,TARCIENNE,BEL,,,,0497/47.65.48,BE0534.719.725,NEE,JA,boekhouding,,,mattiacollu@msn.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,06 POISSONERIE,2024-05-11,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1973.0,LA SOLE GOURMANDE,,RUE GRANDE,84,7330.0,SAINT-GHISLAIN,BEL,,,,,BE0749.709.139,NEE,JA,boekhouding,,,lasolegourmande@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2022-10-10,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1974.0,SOLE GEANTE,,RUE HAUTE,15,7800.0,ATH,BEL,,,,,BE0729.559.071,NEE,JA,boekhouding,,,lasolegeante@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2022-10-05,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1976.0,GREGOIRE JEROMEJEUX DE GOUT,,RUE DE BOHAN,91,5550.0,ORCHIMONT,BEL,061/41.50.95,,,,BE0701.917.536,NEE,JA,boekhouding,,,admin@jeuxdegouts.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2025-03-26,Klanten HTT,1000.0,2022-09-16,MONS,,,1.0,HTT
1977.0,BAVEV,POKEBOWL,WEVERSSTRAAT,4,2400.0,MOL,BEL,0492/85.09.52,,,0494/42.04.58,BE0735.823.687,NEE,NEE,boekhouding,,,info@surfsidepoke.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,06 POISSONERIE,2026-01-06,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1978.0,LES SAVEURS D'AURELIE,,RUE DE BEHOGNE,34B,5580.0,ROCHEFORT,BEL,,,,0472/45.70.69,BE0750.990.628,NEE,JA,boekhouding,,,quentin-desclin@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-16,MONS,,,1.0,HTT
1979.0,GX,,RUE DE LA BOURGOGNE,5,4452.0,PAIFVE,BEL,,,,0474/71.33.82,BE0476.779.348,NEE,NEE,boekhouding,,,santus.alex@skynet.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1500.0,2022-09-16,MONS,1500.0,,1.0,HTT
1980.0,ORVI HORECA,PARADIS O,CHAUSSEE DE LA COUR,81,7340.0,COLFONTAINE,BEL,,,,0475/91.31.61,BE0478.739.441,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,,,,,,,,,,
,,,,,,,,,,,,,NEE,NEE,boekhouding,,,davlej@msn.com,,,09 HORECA,2024-06-07,Klanten HTT,1000.0,2022-09-16,MONS,,,1.0,HTT
1981.0,ADAM XAVIER TRAITEUR,,RUE DES ALLIES,105,7080.0,FRAMERIES,BEL,065/84.35.88,,,0476/97.69.86,BE0745.759.556,NEE,NEE,boekhouding,,,traiteur_adam@yahoo.fr,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2023-03-15,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1982.0,COLAIANNI PIETRO,,RUE LOMBARD,42,5000.0,NAMUR,BEL,081/22.82.82,,,0488/82.07.40,BE0627.889.314,NEE,NEE,boekhouding,,,colaianni.pietro@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,3000.0,2022-09-16,MONS,,,1.0,HTT
1983.0,TERRE ET MER GHLIN SPRL,,AVENUE DE LA LIBERATION,15/A,7011.0,GHLIN,BEL,,,,,BE0661.720.439,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2023-07-01,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1984.0,MEGA GRILL CUESMES,,RUE VINCENT VAN GOGH,45,7033.0,CUESMES,BEL,,,,0486/48.26.26,BE0646.862.316,JA,JA,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-01-25,Klanten HTT,0.0,2022-09-16,MONS,,,1.0,HTT
1985.0,MEZZO CONCEPT SPRL,DA LEANDRO,AVENUE FOCH,949,7012.0,JEMAPPES,BEL,065/31.13.28,,,0479/49.33.00,BE0836.677.656,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,,,,,,,,,,
,,,,,,,,,,,,,NEE,JA,boekhouding,,,daleandro123@gmail.com,,,09 HORECA,,Klanten HTT,1000.0,2022-09-17,MONS,,,1.0,HTT
1986.0,L'ORANGERIE SPRL,,ROUTE DE MONS,103,7301.0,HORNU,BEL,,,,0471/42.12.01,BE0518.888.731,NEE,JA,boekhouding,,,orangerie@hotmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-08-09,Klanten HTT,1000.0,2022-09-17,MONS,,,1.0,HTT
1987.0,HORECALAC SPRL,,RUE DU BOIS DU FOUR,9,6441.0,ERPION,BEL,,,,0472/99.53.56,BE0669.520.031,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-02-23,Klanten HTT,0.0,2022-09-17,MONS,,,1.0,HTT
1988.0,LES RIPAILLEURS SPRL,,PLACE DE LA RESISTANCE,1,7331.0,BAUDOUR,BEL,,,,0470/10.60.33,BE0644.583.608,NEE,NEE,boekhouding,,,administration@fernez.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-07,Klanten HTT,3000.0,2022-09-17,MONS,,,1.0,HTT
1991.0,POTES AU FEU SPRL,,CHAUSSEE DU ROEULX,273,7000.0,MONS,BEL,065/65.68.33,,,,BE0635.486.293,NEE,NEE,boekhouding,,,info@potesaufeu.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,06 POISSONERIE,2026-01-05,Klanten HTT,0.0,2022-09-19,MONS,,,1.0,HTT
1992.0,PICCIN CEDRIC,LE VERTIGE DES SENS,RUE DU TORDOIR,10,7822.0,MESLIN L'EVEQUES,BEL,068/64.54.10,,,,BE0508.592.774,NEE,JA,boekhouding,,,cedric.piccin@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2023-04-27,Klanten HTT,0.0,2022-09-19,MONS,,,1.0,HTT
1993.0,LE FOYA ANDERLUES ASBL,,RUE AUGUSTE GUERLEMENT,36,6150.0,ANDERLUES,BEL,071/52.79.95,,,,BE0421.741.944,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,500.0,2022-09-19,MONS,,,1.0,HTT
1994.0,SCALIM SPRL,,RUE DE LA VERRERIE,5,7330.0,SAINT-GHISLAIN,BEL,,0493/97.82.14,,0471/91.59.80,BE0682.869.211,NEE,JA,boekhouding,,,compta@scalim.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,2500.0,2022-09-19,MONS,,,1.0,HTT
1995.0,FRAGOLA & CO SPRL,L'ETOILE,PLACE ALBERT-ELISABETH,12,7330.0,SAINT-GHISLAIN,BEL,,,,0488/60.99.55,BE0720.540.744,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1000.0,2022-09-19,MONS,,,1.0,HTT
1996.0,BLUE NOTE PROJECT SPRL,,RUE CONCEUR,83,7100.0,LA LOUVIERE,BEL,064/26.66.60,,,0471/83.15.10,BE0732.540.238,NEE,JA,boekhouding,,,info@bluenoteproject.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2024-07-02,Klanten HTT,500.0,2022-09-19,MONS,,,1.0,HTT
1997.0,SIMONE SPRL,,RUE D'HAVRE,44,7000.0,MONS,BEL,065/22.60.32,,,,BE0847.986.668,NEE,NEE,boekhouding,,,lamarmitedesimone@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1000.0,2022-09-19,MONS,,,1.0,HTT
1998.0,DESSEIN ANNE-SOPHIE,CAFE DE LA PLACE SPRL,PLACE DE LA RABECQUE,1,7782.0,PLOEGSTEERT,BEL,,,,0625/17.86.58,BE0839.914.684,NEE,NEE,boekhouding,,,desseinannesophie@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2023-10-09,Klanten HTT,0.0,2022-09-19,WEVELGEM,,,1.0,HTT
1999.0,LYCEE PROV D'ENS TECH DU HAINAUT,,AVENUE DE L'ENSEIGNEMENT,45,7330.0,SAINT-GHISLAIN,BEL,,,,0471/72.23.83,BE0207.656.610,NEE,NEE,boekhouding,,,factures.fournisseurs@hainaut.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2026-01-07,Klanten HTT,3000.0,2022-09-19,MONS,,,1.0,HTT
2000.0,ZACCARIA SCRL,,RUE DE LA POUDRIERE,88,7390.0,QUAREGNON,BEL,,,,,BE0433.502.797,NEE,NEE,boekhouding,,,pino.zaccaria@skynet.be,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,2023-02-20,Klanten HTT,0.0,2022-09-19,MONS,,,1.0,HTT
2002.0,M.G.G. SPRL,,RUE DE LA VERRERIE,2,7050.0,JURBISE,BEL,,,,0475/25.11.02,BE0471.013.489,NEE,NEE,boekhouding,,,marcdeltenre64@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,JA,NEE,Boekhouding,,,ghlin@delicatessenvanhauwaert.be,,,09 HORECA,,Klanten HTT,1500.0,2022-09-20,MONS,,,1.0,HTT
